x,y,t,u,f
0,0,180,0.308557516,-0.279180452
1.052631579,0,180,0.336161388,-0.298173646
2.105263158,0,180,0.317969412,-0.285821258
3.157894737,0,180,0.278181575,-0.256654497
4.210526316,0,180,0.251779436,-0.235818411
5.263157895,0,180,0.243451999,-0.229022872
6.315789474,0,180,0.240591828,-0.226665308
7.368421053,0,180,0.237880338,-0.22441939
8.421052632,0,180,0.216045722,-0.205961625
9.473684211,0,180,0.163016629,-0.158684556
10.52631579,0,180,0.109036141,-0.107739823
11.57894737,0,180,0.065655225,-0.065372211
12.63157895,0,180,-0.009682348,0.00968144
13.68421053,0,180,-0.152687898,0.149128194
14.73684211,0,180,-0.297874098,0.271444033
15.78947368,0,180,-0.332939471,0.296033566
16.84210526,0,180,-0.237274358,0.22391602
17.89473684,0,180,-0.06401134,0.063749057
18.94736842,0,180,0.10633063,-0.105128434
20,0,180,0.23173458,-0.219290221
0,1.052631579,180,0.178907362,-0.173180923
1.052631579,1.052631579,180,0.198652727,-0.190813313
2.105263158,1.052631579,180,0.171723585,-0.16665963
3.157894737,1.052631579,180,0.116639904,-0.115053033
4.210526316,1.052631579,180,0.074386258,-0.073974656
5.263157895,1.052631579,180,0.059319453,-0.05911072
6.315789474,1.052631579,180,0.061009957,-0.060782864
7.368421053,1.052631579,180,0.079061948,-0.078567749
8.421052632,1.052631579,180,0.100688987,-0.099668174
9.473684211,1.052631579,180,0.114842195,-0.113327572
10.52631579,1.052631579,180,0.133104707,-0.130746509
11.57894737,1.052631579,180,0.130591613,-0.128364482
12.63157895,1.052631579,180,0.044615396,-0.044526587
13.68421053,1.052631579,180,-0.143595607,0.140634709
14.73684211,1.052631579,180,-0.329843002,0.293957269
15.78947368,1.052631579,180,-0.389631955,0.330480736
16.84210526,1.052631579,180,-0.309621187,0.279939266
17.89473684,1.052631579,180,-0.149479982,0.146139961
18.94736842,1.052631579,180,0.007560495,-0.007560063
20,1.052631579,180,0.115756249,-0.114205172
0,2.105263158,180,-0.085970543,0.08533514
1.052631579,2.105263158,180,-0.055976877,0.055801478
2.105263158,2.105263158,180,-0.053873236,0.053716878
3.157894737,2.105263158,180,-0.082671513,0.082106488
4.210526316,2.105263158,180,-0.113408268,0.111949675
5.263157895,2.105263158,180,-0.127678969,0.125597557
6.315789474,2.105263158,180,-0.124087189,0.122176541
7.368421053,2.105263158,180,-0.086054365,0.085417102
8.421052632,2.105263158,180,-0.010216149,0.010215083
9.473684211,2.105263158,180,0.080408797,-0.079888908
10.52631579,2.105263158,180,0.1624689,-0.158180348
11.57894737,2.105263158,180,0.187824267,-0.181198211
12.63157895,2.105263158,180,0.098019994,-0.097078226
13.68421053,2.105263158,180,-0.109127676,0.107828091
14.73684211,2.105263158,180,-0.318909855,0.286475608
15.78947368,2.105263158,180,-0.411679659,0.341908132
16.84210526,2.105263158,180,-0.380199744,0.325241169
17.89473684,2.105263158,180,-0.283790885,0.260935143
18.94736842,2.105263158,180,-0.188945485,0.182200056
20,2.105263158,180,-0.128457056,0.126337359
0,3.157894737,180,-0.268178034,0.248890815
1.052631579,3.157894737,180,-0.223246863,0.212120427
2.105263158,3.157894737,180,-0.177962341,0.172326168
3.157894737,3.157894737,180,-0.166760087,0.162122668
4.210526316,3.157894737,180,-0.185963839,0.179532735
5.263157895,3.157894737,180,-0.209467018,0.200276353
6.315789474,3.157894737,180,-0.21266417,0.20304621
7.368421053,3.157894737,180,-0.160886984,0.156722485
8.421052632,3.157894737,180,-0.042815521,0.042737033
9.473684211,3.157894737,180,0.095833814,-0.094953664
10.52631579,3.157894737,180,0.198980127,-0.191101889
11.57894737,3.157894737,180,0.220264654,-0.20957818
12.63157895,3.157894737,180,0.127543829,-0.125469019
13.68421053,3.157894737,180,-0.064188082,0.06392362
14.73684211,3.157894737,180,-0.259436243,0.241974325
15.78947368,3.157894737,180,-0.363100291,0.315228488
16.84210526,3.157894737,180,-0.368797078,0.318636514
17.89473684,3.157894737,180,-0.330728385,0.294552896
18.94736842,3.157894737,180,-0.298827007,0.272142478
20,3.157894737,180,-0.288721469,0.264653623
0,4.210526316,180,-0.234329719,0.221462576
1.052631579,4.210526316,180,-0.176641617,0.171129999
2.105263158,4.210526316,180,-0.099069215,0.09809688
3.157894737,4.210526316,180,-0.06676089,0.066463336
4.210526316,4.210526316,180,-0.101795054,0.10074023
5.263157895,4.210526316,180,-0.164084158,0.15966642
6.315789474,4.210526316,180,-0.19536604,0.187909331
7.368421053,4.210526316,180,-0.144258641,0.141256539
8.421052632,4.210526316,180,-0.010472793,0.010471644
9.473684211,4.210526316,180,0.130514875,-0.128291667
10.52631579,4.210526316,180,0.206005613,-0.197263082
11.57894737,4.210526316,180,0.191976113,-0.184900866
12.63157895,4.210526316,180,0.094321864,-0.093482718
13.68421053,4.210526316,180,-0.047917103,0.047807083
14.73684211,4.210526316,180,-0.170840738,0.165854485
15.78947368,4.210526316,180,-0.227616368,0.215823743
16.84210526,4.210526316,180,-0.223773092,0.21256779
17.89473684,4.210526316,180,-0.208335423,0.199292905
18.94736842,4.210526316,180,-0.215390782,0.205398117
20,4.210526316,180,-0.240523688,0.226608997
0,5.263157895,180,-0.050441446,0.050313106
1.052631579,5.263157895,180,0.025233396,-0.025217329
2.105263158,5.263157895,180,0.122041248,-0.120223558
3.157894737,5.263157895,180,0.155562391,-0.151797834
4.210526316,5.263157895,180,0.088595133,-0.087899742
5.263157895,5.263157895,180,-0.030615704,0.030587008
6.315789474,5.263157895,180,-0.109609948,0.108293057
7.368421053,5.263157895,180,-0.078488984,0.078005451
8.421052632,5.263157895,180,0.038218372,-0.038162548
9.473684211,5.263157895,180,0.138293529,-0.135648652
10.52631579,5.263157895,180,0.152239431,-0.148711001
11.57894737,5.263157895,180,0.086560337,-0.085911767
12.63157895,5.263157895,180,-0.013028286,0.013026074
13.68421053,5.263157895,180,-0.084838376,0.084227747
14.73684211,5.263157895,180,-0.097268401,0.096348131
15.78947368,5.263157895,180,-0.059931775,0.059716511
16.84210526,5.263157895,180,-0.008956388,0.008955669
17.89473684,5.263157895,180,0.008329954,-0.008329376
18.94736842,5.263157895,180,-0.019973081,0.019965113
20,5.263157895,180,-0.060694584,0.060470995
0,6.315789474,180,0.098846695,-0.097880896
1.052631579,6.315789474,180,0.203359987,-0.194949977
2.105263158,6.315789474,180,0.315859354,-0.284346972
3.157894737,6.315789474,180,0.353959268,-0.309612715
4.210526316,6.315789474,180,0.277729804,-0.256307436
5.263157895,6.315789474,180,0.124528323,-0.122597225
6.315789474,6.315789474,180,0.003008799,-0.003008772
7.368421053,6.315789474,180,0.003080631,-0.003080602
8.421052632,6.315789474,180,0.076985854,-0.076529572
9.473684211,6.315789474,180,0.106453352,-0.105246989
10.52631579,6.315789474,180,0.040475315,-0.040409006
11.57894737,6.315789474,180,-0.07826054,0.077781217
12.63157895,6.315789474,180,-0.171721136,0.166657397
13.68421053,6.315789474,180,-0.17604271,0.170586964
14.73684211,6.315789474,180,-0.09109641,0.090340442
15.78947368,6.315789474,180,0.028310785,-0.028288093
16.84210526,6.315789474,180,0.117127986,-0.115521111
17.89473684,6.315789474,180,0.134978147,-0.132518967
18.94736842,6.315789474,180,0.095181928,-0.094319618
20,6.315789474,180,0.060671815,-0.060448478
0,7.368421053,180,0.118243058,-0.116589853
1.052631579,7.368421053,180,0.253309544,-0.237055754
2.105263158,7.368421053,180,0.382530849,-0.326555167
3.157894737,7.368421053,180,0.436901732,-0.353504565
4.210526316,7.368421053,180,0.381667291,-0.326069847
5.263157895,7.368421053,180,0.238004817,-0.224522727
6.315789474,7.368421053,180,0.10524842,-0.104082559
7.368421053,7.368421053,180,0.079375671,-0.078875565
8.421052632,7.368421053,180,0.10328972,-0.102187746
9.473684211,7.368421053,180,0.058548298,-0.0583476
10.52631579,7.368421053,180,-0.080245662,0.079728931
11.57894737,7.368421053,180,-0.235099037,0.222104747
12.63157895,7.368421053,180,-0.315214138,0.283894476
