x,u,t
-7.5,0.0,0.0
-7.469939879759519,6.0290324181478475e-25,0.0
-7.439879759519038,9.436622637069559e-25,0.0
-7.409819639278557,1.4743514185869797e-24,0.0
-7.3797595190380765,2.2993277992611108e-24,0.0
-7.349699398797595,3.579449357844601e-24,0.0
-7.319639278557114,5.562205228095333e-24,0.0
-7.289579158316633,8.627664521458182e-24,0.0
-7.259519038076152,1.3358415399925295e-23,0.0
-7.229458917835672,2.0645817930305637e-23,0.0
-7.19939879759519,3.1851119078007796e-23,0.0
-7.169338677354709,4.904929304124571e-23,0.0
-7.1392785571142285,7.539738132518317e-23,0.0
-7.109218436873747,1.1568984154445748e-22,0.0
-7.079158316633267,1.7719425770769942e-22,0.0
-7.0490981963927855,2.709065556854923e-22,0.0
-7.019038076152305,4.1343271467404166e-22,0.0
-6.988977955911824,6.298042933722342e-22,0.0
-6.958917835671342,9.576831537536734e-22,0.0
-6.928857715430862,1.4536288449699336e-21,0.0
-6.898797595190381,2.202422675183177e-21,0.0
-6.8687374749499,3.330912775328138e-21,0.0
-6.838677354709419,5.028532990424022e-21,0.0
-6.8086172344689375,7.577654504080413e-21,0.0
-6.778557114228457,1.1398396219812472e-20,0.0
-6.748496993987976,1.711465509753857e-20,0.0
-6.718436873747495,2.565121886252323e-20,0.0
-6.688376753507014,3.8376318828452615e-20,0.0
-6.658316633266534,5.731048364421181e-20,0.0
-6.628256513026052,8.543194342397421e-20,0.0
-6.598196392785571,1.271223611283524e-19,0.0
-6.5681362725450905,1.888161194957254e-19,0.0
-6.538076152304609,2.7994430523891283e-19,0.0
-6.508016032064129,4.1430450807841085e-19,0.0
-6.477955911823647,6.120446875213593e-19,0.0
-6.447895791583166,9.025308556650517e-19,0.0
-6.417835671342686,1.3284843304540874e-18,0.0
-6.387775551102204,1.95193911027294e-18,0.0
-6.357715430861724,2.8628035527193067e-18,0.0
-6.3276553106212425,4.1911410872262084e-18,0.0
-6.297595190380761,6.124751403000512e-18,0.0
-6.267535070140281,8.934291178821428e-18,0.0
-6.2374749498997994,1.3009098162906541e-17,0.0
-6.207414829659319,1.8908180109028752e-17,0.0
-6.177354709418838,2.7432647416832805e-17,0.0
-6.147294589178356,3.972840817371593e-17,0.0
-6.117234468937876,5.743148660340938e-17,0.0
-6.087174348697395,8.287325618974133e-17,0.0
